Level	XPPerLevel	AccXP	Day	PayoutRate	MaxBet	Gold
262	54250	11269737	7271	80	50	7000
263	54250	11323987	7306	80	50	7000
264	54250	11378237	7341	80	50	7000
265	54250	11432487	7376	80	50	7000
266	54250	11486737	7411	80	50	7000
267	54250	11540987	7446	80	50	7000
268	54250	11595237	7481	80	50	7000
269	54250	11649487	7516	80	50	7000
270	54250	11703737	7551	80	50	7000
271	54250	11757987	7586	80	50	7000
272	54250	11812237	7621	80	50	7000
273	54250	11866487	7656	80	50	7000
274	54250	11920737	7691	80	50	7000
275	54250	11974987	7726	80	50	7000
276	54250	12029237	7761	80	50	7000
277	54250	12083487	7796	80	50	7000
278	54250	12137737	7831	80	50	7000
279	54250	12191987	7866	80	50	7000
280	54250	12246237	7901	80	50	7000
281	54250	12300487	7936	80	50	7000
282	54250	12354737	7971	80	50	7000
283	54250	12408987	8006	80	50	7000
284	54250	12463237	8041	80	50	7000
285	54250	12517487	8076	80	50	7000
286	54250	12571737	8111	80	50	7000
287	54250	12625987	8146	80	50	7000
288	54250	12680237	8181	80	50	7000
289	54250	12734487	8216	80	50	7000
290	54250	12788737	8251	80	50	7000
291	54250	12842987	8286	80	50	7000
292	54250	12897237	8321	80	50	7000
293	54250	12951487	8356	80	50	7000
294	54250	13005737	8391	80	50	7000
295	54250	13059987	8426	80	50	7000
296	54250	13114237	8461	80	50	7000
297	54250	13168487	8496	80	50	7000
298	54250	13222737	8531	80	50	7000
299	54250	13276987	8566	80	50	7000
300	54250	13331237	8601	80	50	7000
